btype,roadtype,maname,schida,schnamea,sdida,sdnamea,schidb,schnameb,sdidb,sdnameb,numblka,numblkb,popa_sab,urma_sab,whitea_sab,blacka_sab,hispaa_sab,asiana_sab,popb_sab,urmb_sab,whiteb_sab,blackb_sab,hispab_sab,asianb_sab,popa_bdy,urma_bdy,whitea_bdy,blacka_bdy,hispaa_bdy,asiana_bdy,popb_bdy,urmb_bdy,whiteb_bdy,blackb_bdy,hispab_bdy,asianb_bdy,popa_enr,urma_enr,blacka_enr,whitea_enr,hispaa_enr,asiana_enr,popb_enr,urmb_enr,blackb_enr,whiteb_enr,hispab_enr,asianb_enr,leabdy,state,adif_bdy,adif_sab,adif_enr,adif_wh_bdy,adif_whas_bdy,bbindex,ddif,distmi,dupid_a,dupid_b
sab2,2,"New York-Northern New Jersey-Long Island, NY-NJ-PA",360007905634,ISAAC NEWTON MIDDLE SSCHOOL FOR MATH AND SCIENCE,3620580,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,360007702597,JHS 167 ROBERT F WAGNER,3620580,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,47,55,91002,76190.9993191,8350.0002349,25218.9997354,50971.9997924,4711.9998253,217426,21279.99968,173549.0002254,5574.0001466,15706.0003291,18123.0008823,27863,21856.9997873,3628.9998713,6373.9997729,15482.999767,1799.999866,44848,8883.9997736,29884.9999398,2764.9997288,6119.0002161,5000.0001119,239,220,52,4,168,11,1378,321,96,733,225,244,0,NY,0.586353988450156,0.739372949688648,0.687555793066174,0.536117526769582,0.583003424160283,21673.6224840642,-0.101201804616018,2.32096486250504,1361,1148
sab2,1,"Detroit-Warren-Livonia, MI",260110308222,Mackenzie ElementaryMiddle School,2612000,Detroit Public Schools Community District,261160001740,Unis Middle School,2611600,Dearborn City School District,86,107,23096,22276.9999823,416.9999611,22063.99995,212.9999945,23.000002,11476,491.9999995,10108.0000469,282.0000047,209.9999832,121.0000092,6225,5879.9999793,217.9999916,5815.9999632,63.9999989,9.9999924,8923,399.0000108,7820.0000315,231.0000153,167.9999846,92.0000108,986,980,974,3,6,1,600,10,7,587,3,3,1,MI,0.899862405994057,0.921667232579746,0.977248140635565,0.841366789962327,0.85007080040139,12277.5130741931,-0.0773857346415078,1.81524386376649,854,883
sab3,1,"Detroit-Warren-Livonia, MI",260110308306,East English Village Preparatory Academy,2612000,Detroit Public Schools Community District,262574006220,Grosse Pointe South High School,2625740,Grosse Pointe Public Schools,192,153,106337,97466.9998617998,6366.00000969999,96611.0000158998,856.0000757,324.9999721,25108,1956.9999974,22350.9999859,1391.9999735,565.0000145,383.9999525,10793,8514.9999834,1931.0000465,8376.0000171,139.0000085,24.0000119,12325,1405.0000179,10451.0000083,1081.9999908,323.0000001,212.9999617,999,993,991,2,2,1,1542,152,104,1319,48,23,1,MI,0.674941327963942,0.838642662242065,0.895420712541335,0.669039056878534,0.684097336444533,11717.1062633525,-0.220479384577393,2.17716353874,861,922
sab2,2,"New York-Northern New Jersey-Long Island, NY-NJ-PA",360010002567,JHS 157 STEPHEN A HALSEY,3620580,NEW YORK CITY GEOGRAPHIC DISTRICT #28,360009802263,IS 61 LEONARDO DA VINCI,3620580,NEW YORK CITY GEOGRAPHIC DISTRICT #24,41,60,56164,8743.0000552,32816.0000122,1541.9993688,7200.9999823,13092.0000284,97402,76714.9996378,5870.0002748,8770.0000764,67944.9998242,13083.000091,20571,4048.0001514,10718.0000422,817.9997539,3230.0000127,5170.0000536,34312,24513.9996982,3852.0002864,7605.9999216,16907.9999934,5116.9999431,1655,525,138,667,387,400,2235,2050,56,44,1994,129,0,NY,0.517662032767296,0.63194304743321,0.600005406976351,0.4087608062893,0.510953991744549,10772.518789293,-0.0823433742090549,0.969029269061722,1390,1182
sab2,1,"Detroit-Warren-Livonia, MI",260110304838,Edward  Duke  Ellington at Beckham,2612000,Detroit Public Schools Community District,262574006227,Pierce Middle School,2625740,Grosse Pointe Public Schools,165,109,714989,635545.999683798,56434.0001113,586842.000007498,48703.9997005999,7474.99992359999,13978,1579.0000145,11850.9999873,1238.999978,339.999995,255.9999765,9510,7603.9999852,1606.0000451,7487.0000219,117.0000097,22.0000113,8617,1262.0000189,6981.9999829,1015.9999896,245.9999957,163.9999807,574,571,570,0,1,1,501,69,53,388,16,12,1,MI,0.653124703761918,0.775925970284786,0.85704896826556,0.641383915476209,0.658102703442785,7873.13992461994,-0.203924264503642,3.48658482519032,846,925
sab1,2,"New York-Northern New Jersey-Long Island, NY-NJ-PA",360009206143,RED HOOK NEIGHBORHOOD SCHOOL,3620580,NEW YORK CITY GEOGRAPHIC DISTRICT #15,360009202251,PS 58 CARROLL (THE),3620580,NEW YORK CITY GEOGRAPHIC DISTRICT #15,19,41,4935,4498.9999525,273.0000153,2064.9999454,2433.9999983,104.9999794,11974,1368.9999963,9666.9999734,178.0000587,1191.0000151,569.0000181,4935,4498.9999525,273.0000153,2064.9999454,2433.9999983,104.9999794,9564,1162.9999896,7616.9999751,164.0000627,998.9999929,479.999985,124,118,62,2,56,3,1008,128,21,749,107,31,0,NY,0.790049620326351,0.7973204091725,0.82462877624168,0.741104935698783,0.77001654833163,7531.53997254894,-0.034579155915329,0.670450932347814,1382,1174
sab3,2,"New York-Northern New Jersey-Long Island, NY-NJ-PA",341269005998,Rosa L. Parks School of Fine and Performing Arts,3412690,Paterson Public School District,340498000410,Fair Lawn High School,3404980,Fair Lawn Public School District,83,86,146216,125686.000133,13439.0001504,41431.0000294,84255.0002659001,4665.0001205,32456,3759.0000808,25147.0001724,464.000012,3295.0000332,3132.0000264,11480,10187.000064,1086.0000404,4900.9999466,5285.9999626,29.9999851,6793,1053.0000516,5105.9999983,167.9999911,885.0000204,553.000005,238,232,102,4,130,2,1490,330,40,946,290,198,1,NJ,0.732356823077045,0.743772949345141,0.753313405899272,0.657056809685298,0.735850902377248,7498.05568950588,-0.020956582822227,1.74183328889147,1254,1020
sab2,1,"New York-Northern New Jersey-Long Island, NY-NJ-PA",360007702597,JHS 167 ROBERT F WAGNER,3620580,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,360007902294,LEXINGTON ACADEMY (THE),3620580,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,27,13,217426,21279.99968,173549.0002254,5574.0001466,15706.0003291,18123.0008823,6350,5005.9998984,980.9999367,754.999952,4250.9999777,246.9999481,19376,3831.9997577,12715.0000655,1126.0001602,2706.0002339,2356.0003613,5746,4479.9999102,939.999946,671.9999276,3807.9999826,212.9999446,1378,321,96,733,225,244,644,608,104,15,504,14,0,NY,0.581902375093978,0.690474062596458,0.711153079897953,0.492632143614024,0.577156630521121,7178.18761862192,-0.129250704803975,1.5427695846371,1358,1151
sab3,2,"New York-Northern New Jersey-Long Island, NY-NJ-PA",341269003109,School of Earth and Space Science,3412690,Paterson Public School District,340498000410,Fair Lawn High School,3404980,Fair Lawn Public School District,83,86,146216,125686.000133,13439.0001504,41431.0000294,84255.0002659001,4665.0001205,32456,3759.0000808,25147.0001724,464.000012,3295.0000332,3132.0000264,11480,10187.000064,1086.0000404,4900.9999466,5285.9999626,29.9999851,6793,1053.0000516,5105.9999983,167.9999911,885.0000204,553.000005,214,201,66,9,135,4,1490,330,40,946,290,198,1,NJ,0.732356823077045,0.743772949345141,0.717775826381484,0.657056809685298,0.735850902377248,7144.33471732097,0.0145809966955613,3.20089457830818,1087,1020
sab2,2,"New York-Northern New Jersey-Long Island, NY-NJ-PA",341269004914,School 21,3412690,Paterson Public School District,340498000414,Memorial Middle School,3404980,Fair Lawn Public School District,83,86,146216,125686.000133,13439.0001504,41431.0000294,84255.0002659001,4665.0001205,13152,1837.0000842,9800.0000453,254.9999942,1582.0000369,1341.9999691,11480,10187.000064,1086.0000404,4900.9999466,5285.9999626,29.9999851,6793,1053.0000516,5105.9999983,167.9999911,885.0000204,553.000005,747,743,181,2,562,2,455,130,20,237,110,63,1,NJ,0.732356823077045,0.719916709897248,0.70893096194301,0.657056809685298,0.735850902377248,6829.9698180789,0.0234258611340352,0.95821551625379,1199,1021
